0,1,2,3
70,-90.8798828125,-60.2197265625,536.6000061035156
71,-90.8798828125,-59.4013671875,535.6000061035156
72,-90.8798828125,-59.4013671875,536.1000061035156
73,-90.0615234375,-92.1357421875,536.1000061035156
74,-90.0615234375,-85.5888671875,564.1000061035156
75,-90.0615234375,-83.9521484375,516.1000061035156
76,-90.0615234375,-82.3154296875,512.6000061035156
77,-90.0615234375,-81.4970703125,562.6000061035156
78,-90.0615234375,-79.0419921875,561.1000061035156
79,-90.0615234375,-60.2197265625,538.6000061035156
80,-89.2431640625,-92.1357421875,536.1000061035156
81,-89.2431640625,-85.5888671875,564.1000061035156
82,-89.2431640625,-83.1337890625,515.1000061035156
83,-89.2431640625,-83.1337890625,515.6000061035156
84,-89.2431640625,-82.3154296875,513.1000061035156
85,-89.2431640625,-81.4970703125,562.6000061035156
86,-89.2431640625,-79.0419921875,561.1000061035156
87,-89.2431640625,-73.3134765625,557.1000061035156
88,-89.2431640625,-73.3134765625,557.6000061035156
89,-89.2431640625,-72.4951171875,556.6000061035156
90,-89.2431640625,-60.2197265625,538.6000061035156
91,-88.4248046875,-116.6865234375,527.1000061035156
92,-88.4248046875,-116.6865234375,527.6000061035156
93,-88.4248046875,-115.8681640625,528.1000061035156
94,-88.4248046875,-115.8681640625,528.6000061035156
95,-88.4248046875,-115.8681640625,529.1000061035156
96,-88.4248046875,-115.8681640625,529.6000061035156
97,-88.4248046875,-115.0498046875,530.1000061035156
98,-88.4248046875,-92.1357421875,536.6000061035156
99,-88.4248046875,-86.4072265625,565.6000061035156
100,-88.4248046875,-85.5888671875,564.6000061035156
101,-88.4248046875,-84.7705078125,564.1000061035156
102,-88.4248046875,-83.9521484375,564.1000061035156
103,-88.4248046875,-83.1337890625,564.1000061035156
104,-88.4248046875,-82.3154296875,513.6000061035156
105,-88.4248046875,-82.3154296875,514.6000061035156
106,-88.4248046875,-82.3154296875,563.6000061035156
107,-88.4248046875,-81.4970703125,563.1000061035156
108,-88.4248046875,-80.6787109375,562.6000061035156
109,-88.4248046875,-79.8603515625,562.6000061035156
110,-88.4248046875,-79.0419921875,561.6000061035156
111,-88.4248046875,-79.0419921875,562.1000061035156
112,-88.4248046875,-78.2236328125,561.1000061035156
113,-88.4248046875,-77.4052734375,560.6000061035156
114,-88.4248046875,-76.5869140625,560.1000061035156
115,-88.4248046875,-75.7685546875,559.6000061035156
116,-88.4248046875,-74.9501953125,559.6000061035156
117,-88.4248046875,-73.3134765625,558.1000061035156
118,-88.4248046875,-59.4013671875,539.1000061035156
119,-87.6064453125,-115.0498046875,530.6000061035156
120,-87.6064453125,-115.0498046875,531.1000061035156
121,-87.6064453125,-115.0498046875,531.6000061035156
122,-87.6064453125,-114.2314453125,532.1000061035156
123,-87.6064453125,-105.2294921875,516.6000061035156
124,-87.6064453125,-105.2294921875,517.1000061035156
125,-87.6064453125,-99.5009765625,568.6000061035156
126,-87.6064453125,-91.3173828125,537.1000061035156
127,-87.6064453125,-85.5888671875,565.1000061035156
128,-87.6064453125,-82.3154296875,514.1000061035156
129,-87.6064453125,-81.4970703125,564.1000061035156
130,-87.6064453125,-78.2236328125,562.6000061035156
131,-87.6064453125,-76.5869140625,561.1000061035156
132,-87.6064453125,-74.1318359375,559.1000061035156
133,-87.6064453125,-73.3134765625,558.6000061035156
134,-87.6064453125,-72.4951171875,558.1000061035156
135,-87.6064453125,-59.4013671875,539.6000061035156
136,-87.6064453125,-58.5830078125,540.6000061035156
137,-86.7880859375,-113.4130859375,532.6000061035156
138,-86.7880859375,-113.4130859375,533.1000061035156
139,-86.7880859375,-112.5947265625,533.6000061035156
140,-86.7880859375,-112.5947265625,534.1000061035156
141,-86.7880859375,-111.7763671875,535.1000061035156
142,-86.7880859375,-111.7763671875,535.6000061035156
143,-86.7880859375,-111.7763671875,536.1000061035156
144,-86.7880859375,-111.7763671875,541.6000061035156
145,-86.7880859375,-111.7763671875,542.1000061035156
146,-86.7880859375,-111.7763671875,542.6000061035156
147,-86.7880859375,-111.7763671875,543.1000061035156
148,-86.7880859375,-111.7763671875,543.6000061035156
